Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
Abstract,,,,,
Attribute,,,,,
Continuant,,,,,
Entity,,,,,
Object,,,,,
Occurrent,,,,,
Physical,,,,,
Process,,,,,
Relation,,,,,
Attribute,PhysicalQuantity,FunctionQuantity,,,
Object,Artifact,Furniture,,,
Object,Artifact,GameArtifact,,,
Process,Motion,GasMotion,,,
Physical,Collection,GasolineStationChain,,,
Entity,AbstractEntity,GeodesicCurve,,,
Object,Region,GeographicArea,,,
Process,Motion,GeologicalProcess,,,
Process,CognitiveProcess,GeometricReasoningProcess,,,
Object,AutonomousAgent,GeopoliticalArea,,,
Entity,Game,GoGame,,,
Physical,Collection,GolgiApparatus,,,
Physical,Collection,GoodsAndServices,,,
Object,Artifact,GrabBar,,,
Attribute,RelationalAttribute,GramStainAttribute,,,
Abstract,Proposition,Graph,,,
Abstract,Proposition,GraphElement,,,
Physical,Collection,GroceryStoreChain,,,
Physical,Collection,Group,,,
Physical,Collection,GroupOfUndertakings,,,
Process,IntentionalProcess,Guiding,,,
Object,Artifact,GunChamber,,,
Object,Artifact,GunCylinder,,,
Object,Artifact,GunMuzzle,,,
Process,CognitiveProcess,HabitatAwarenessProcess,,,
Object,Artifact,Handicraft,,,
Process,CognitiveProcess,HatcatMentalProcess,,,
Attribute,RelationalAttribute,HazardousMaterialTransportAttribute,,,
Attribute,PhysicalQuantity,Heat,,,
Object,Region,HoleRegion,,,
Physical,Collection,HomologousChromosomeSet,,,
Attribute,RelationalAttribute,HotelLevelAttribute,,,
Physical,Collection,HotelMiniBar,,,
Abstract,Proposition,HotelPackage,,,
Attribute,RelationalAttribute,HotelRoomAttribute,,,
Object,Region,HydrophilicSide,,,
Object,Region,HydrophobicSide,,,
Entity,AbstractEntity,Hyperplane,,,
Abstract,ScientificEntity,Hypothesis,,,
Attribute,RelationalAttribute,IMStatusAttribute,,,
Object,AutonomousAgent,ITAgent,,,
Process,IntentionalProcess,ITProcess,,,
Object,Region,Indoors,,,
Object,Artifact,IndustrialSupply,,,
Physical,Collection,Industry,,,
Attribute,RelationalAttribute,IndustryAttribute,,,
Process,IntentionalProcess,InferenceProcess,,,
Entity,AbstractEntity,InfluenceContent,,,
Process,CognitiveProcess,InfluenceProcess,,,
Physical,Collection,InlandWaterSystem,,,
Entity,AbstractEntity,IntelligenceEntity,,,
Process,IntentionalProcess,IntentionalPsychologicalProcess,,,
Relation,,IntentionalRelation,,,
Object,Artifact,InteriorVehicleEquipment,,,
Relation,BinaryRelation,IntransitiveRelation,,,
Process,IntentionalProcess,Investigating,,,
Attribute,RelationalAttribute,InvestmentAttribute,,,
Relation,BinaryRelation,IrreflexiveRelation,,,
Process,Motion,Irrigating,,,
Object,Artifact,IrrigationChannel,,,
Entity,AbstractEntity,JacobianDirection,,,
Attribute,InternalAttribute,Justification,,,
Process,IntentionalProcess,Keeping,,,
Object,Region,KitchenArea,,,
Object,Artifact,Ladder,,,
Attribute,RelationalAttribute,LandVegetationAttribute,,,
Process,CognitiveProcess,LanguageProcess,,,
Object,Region,Latitude,,,
Object,Artifact,LeadArtifact,,,
Process,CognitiveProcess,LearningDynamicsProcess,,,
Process,CognitiveProcess,LearningProcess,,,
Attribute,RelationalAttribute,LegalAgent,,,
Attribute,RelationalAttribute,LegalSystemAttribute,,,
Attribute,InternalAttribute,LexiconCategory,,,
Object,Region,LineInSpace,,,
Entity,AbstractEntity,LinearSubspace,,,
Attribute,InternalAttribute,LinguisticAttribute,,,
Process,Motion,LiquidMotion,,,
Attribute,RelationalAttribute,LiquidityAttribute,,,
Process,IntentionalProcess,ListOnSite,,,
Process,IntentionalProcess,Listening,,,
Entity,AbstractEntity,LocalLinearApproximation,,,
Process,IntentionalProcess,LogicalReasoningProcess,,,
Object,Region,Longitude,,,
Process,IntentionalProcess,Looking,,,
Abstract,Proposition,LyricalContent,,,
Object,Region,MagneticField,,,
Process,IntentionalProcess,Maintaining,,,
Process,IntentionalProcess,Making,,,
Process,IntentionalProcess,Maneuver,,,
Process,CognitiveProcess,ManipulativeNarrativeProcess,,,
Physical,Collection,MarketEconomics,,,
Object,Artifact,Mast,,,
Process,IntentionalProcess,MathematicalReasoningProcess,,,
Object,Artifact,Mattress,,,
Physical,Collection,Meal,,,
Abstract,Proposition,MealPlan,,,
Attribute,RelationalAttribute,MeasurementAttribute,,,
Process,CognitiveProcess,MeasurementProcess,,,
Physical,Collection,MediaSystem,,,
Entity,AbstractEntity,Medium,,,
Attribute,RelationalAttribute,MemberStateEU,,,
Attribute,RelationalAttribute,MemberStatus,,,
